date,team_a,team_b,team_a_elo,team_b_elo,team_a_ranking,team_a_rating,team_a_goals_per_game,team_a_avg_possession,team_a_pass_accuracy,team_a_shots_per_game,team_a_tackles_per_game,team_a_dribble_per_game,team_a_coach_ranking,team_b_ranking,team_b_rating,team_b_goals_per_game,team_b_avg_possession,team_b_pass_accuracy,team_b_shots_per_game,team_b_tackles_per_game,team_b_dribble_per_game,team_b_coach_ranking,team_home,results,total match goals
17/12/2017,liverpool,bournemouth,1870,1648,9,6.99,2.2,58,83.8,16.8,16.8,11.6,8,203,6.65,1.2,48.5,77,12.2,13.4,9,154,0,1,
18/12/2017,swansea,everton,1616,1698,207,6.59,0.7,46,78.2,8.9,16.4,8.4,300,128,6.67,1.2,46.7,74.3,9.4,16.9,6.9,180,0,2,
22/12/2017,liverpool,arsenal,1878,1839,203,6.65,1.2,48.5,77,12.2,13.4,9,154,25,6.92,1.9,58.5,84.3,15.6,16.4,10.1,25,0,0,
23/12/2017,chelsea,everton,1914,1704,31,6.94,1.6,54.4,84.3,15.9,16.7,13.5,23,128,6.67,1.2,46.7,74.3,9.4,16.9,6.9,180,0,0,
23/12/2017,crystal_palace,swansea,1643,1610,185,6.84,1.2,46.9,75.4,12.5,18,12.7,151,207,6.59,0.7,46,78.2,8.9,16.4,8.4,300,0,0,
23/12/2017,newcastle_united,west_ham,1603,1654,211,6.72,1,43.8,72.3,11.9,16.9,8,168,199,6.72,1.3,46.5,75.5,9.8,16.4,11.2,225,0,1,
23/12/2017,watford,brighton,1632,1604,235,6.66,1.2,49.3,75.5,11.6,17.6,8.7,452,218,6.69,0.9,45.1,74.9,10.1,15.7,7.8,165,0,2,
23/12/2017,west_bromwich_albion,stoke,1628,1634,323,6.63,0.8,42.8,72.4,9.9,15.9,8.4,620,304,6.7,0.9,43.7,71.5,10.1,17.9,8.6,599,0,2,
23/12/2017,bournemouth,manchester_city,1640,1981,203,6.65,1.2,48.5,77,12.2,13.4,9,154,12,7.15,2.8,66.4,89,17.5,14.8,13.2,10,0,2,
23/12/2017,huddersfield,southampton,1553,1665,255,6.61,0.7,46.4,74,9.5,19.6,7.3,193,197,6.67,1,51,77.5,11.8,17.3,10,239,0,0,
23/12/2017,tottenham,burnley,1901,1697,19,6.95,1.9,58.8,83.8,16.4,16.3,11.5,13,157,6.78,0.9,45.1,70.5,9.9,14,5.7,121,0,1,
23/12/2017,manchester_united,leicester,1914,1732,13,6.98,1.8,53.9,83.6,13.5,14.8,12.3,11,162,6.74,1.5,48.3,74.7,11.1,16.6,11.1,152,0,2,
26/12/2017,southampton,tottenham,1661,1909,197,6.67,1,51,77.5,11.8,17.3,10,239,19,6.95,1.9,58.8,83.8,16.4,16.3,11.5,13,0,2,
26/12/2017,leicester_city,watford,1736,1625,162,6.74,1.5,48.3,74.7,11.1,16.6,11.1,152,235,6.66,1.2,49.3,75.5,11.6,17.6,8.7,452,0,2,
26/12/2017,everton,west_bromwich_albion,1708,1619,128,6.67,1.2,46.7,74.3,9.4,16.9,6.9,180,323,6.63,0.8,42.8,72.4,9.9,15.9,8.4,620,0,0,
26/12/2017,west_ham,bournemouth,1643,1638,199,6.72,1.3,46.5,75.5,9.8,16.4,11.2,225,203,6.65,1.2,48.5,77,12.2,13.4,9,154,0,0,
26/12/2017,brighton,chelsea,1611,1910,218,6.69,0.9,45.1,74.9,10.1,15.7,7.8,165,31,6.94,1.6,54.4,84.3,15.9,16.7,13.5,23,0,2,
26/12/2017,stoke,huddersfield,1643,1557,304,6.7,0.9,43.7,71.5,10.1,17.9,8.6,599,255,6.61,0.7,46.4,74,9.5,19.6,7.3,193,0,0,
26/12/2017,burnley,manchester_united,1689,1911,157,6.78,0.9,45.1,70.5,9.9,14,5.7,121,13,6.98,1.8,53.9,83.6,13.5,14.8,12.3,11,0,0,
26/12/2017,swansea,liverpool,1609,1878,207,6.59,0.7,46,78.2,8.9,16.4,8.4,300,9,6.99,2.2,58,83.8,16.8,16.8,11.6,8,0,2,
27/12/2017,manchester_city,newcastle_united,1983,1614,12,7.15,2.8,66.4,89,17.5,14.8,13.2,10,211,6.72,1,43.8,72.3,11.9,16.9,8,168,0,1,
28/12/2017,arsenal,crystal_palace,1839,1644,25,6.92,1.9,58.5,84.3,15.6,16.4,10.1,25,185,6.84,1.2,46.9,75.4,12.5,18,12.7,151,0,1,
30/12/2017,everton,bournemouth,1708,1636,128,6.67,1.2,46.7,74.3,9.4,16.9,6.9,180,203,6.65,1.2,48.5,77,12.2,13.4,9,154,0,2,
30/12/2017,stoke,chelsea,1642,1912,304,6.7,0.9,43.7,71.5,10.1,17.9,8.6,599,31,6.94,1.6,54.4,84.3,15.9,16.7,13.5,23,0,2,
30/12/2017,burnley,huddersfield,1696,1558,157,6.78,0.9,45.1,70.5,9.9,14,5.7,121,255,6.61,0.7,46.4,74,9.5,19.6,7.3,193,0,0,
